Id;Review;Golden;Pred_sentiment
2;morrisons book second consecutive quarter of sales growth;0.43;1
2;morrisons book second consecutive quarter of sales growth;-0.41600000000000004;1
2;the book of the morrison is the second term a quarter term each;0.43;1
2;the book of the morrison is the second term a quarter term each;-0.41600000000000004;1
2;morrisons the second consecutive quarter of sales growth .;0.43;1
2;morrisons the second consecutive quarter of sales growth .;-0.41600000000000004;1
2;the morrisons are second , and the sales have;0.43;1
2;the morrisons are second , and the sales have;-0.41600000000000004;1
2;i have a second book of sales growth .;0.43;1
2;i have a second book of sales growth .;-0.41600000000000004;1
2;in morrisons book , it is a quarter of of in between in;0.43;1
2;in morrisons book , it is a quarter of of in between in;-0.41600000000000004;1
2;here it is the second quarter of sales growth;0.43;1
2;here it is the second quarter of sales growth;-0.41600000000000004;0
2;if the morrisons are booked , the morrisons have;0.43;1
2;if the morrisons are booked , the morrisons have;-0.41600000000000004;1
3;imi posts drop in first-quarter organic revenue, warns on full year;-0.34400000000000003;1
3;imi posts drop in first-quarter organic revenue, warns on full year;-0.374;1
3;imi posts drop in first-quarter organic corpueer warns for into of;-0.34400000000000003;1
3;imi posts drop in first-quarter organic corpueer warns for into of;-0.374;1
3;take a drop of imi in first-quarter organic corpuethen;-0.34400000000000003;1
3;take a drop of imi in first-quarter organic corpuethen;-0.374;1
3;imi posts drop in first full year .;-0.34400000000000003;1
3;imi posts drop in first full year .;-0.374;1
3;in case of full year drops in first-quarter organic revenueed in;-0.34400000000000003;0
3;in case of full year drops in first-quarter organic revenueed in;-0.374;0
3;the number of imi has dropped in first-quarter organic revenueal in;-0.34400000000000003;0
3;the number of imi has dropped in first-quarter organic revenueal in;-0.374;0
3;i have a drop in the area of an from under the into of of;-0.34400000000000003;1
3;i have a drop in the area of an from under the into of of;-0.374;1
3;where is the release of imi in first one-quarter organic revenueal;-0.34400000000000003;1
3;where is the release of imi in first one-quarter organic revenueal;-0.374;1
3;in the year of september , the imi the decline;-0.34400000000000003;1
3;in the year of september , the imi the decline;-0.374;1
3;here it is a drop of imi in front of in of in under at;-0.34400000000000003;0
3;here it is a drop of imi in front of in of in under at;-0.374;0
4;glencore to refinance its short-term debt early, shares rise;0.34;0
4;glencore to refinance its short-term debt early, shares rise;0.778;1
4;glencore is to refinance its short-term debt .;0.34;1
4;glencore is to refinance its short-term debt .;0.778;1
4;i want to refinance its short-term debt again;0.34;1
4;i want to refinance its short-term debt again;0.778;1
4;glencore to refinance its short-term debt .;0.34;1
4;glencore to refinance its short-term debt .;0.778;0
4;i want to refinance its short-term debt again;0.34;1
4;i want to refinance its short-term debt again;0.778;1
4;glencore is to refinance its short-term debt again;0.34;1
4;glencore is to refinance its short-term debt again;0.778;0
4;i will finance its short-term debt again .;0.34;0
4;i will finance its short-term debt again .;0.778;0
4;where do you refinance its short-term debt , shares;0.34;1
4;where do you refinance its short-term debt , shares;0.778;1
4;in glencore , it is glencore to refinance to glencore to;0.34;1
4;in glencore , it is glencore to refinance to glencore to;0.778;1
4;so he can refinance his short-term debt .;0.34;1
4;so he can refinance his short-term debt .;0.778;1
4;when you refinance its short-term debt , it itself itself it itself itself it;0.34;1
4;when you refinance its short-term debt , it itself itself it itself itself it;0.778;1
5;easyjet attracts more passengers in june but still lags ryanair;0.259;0
5;june attracts more passengers in june .;0.259;0
5;i want more passengers in june .;0.259;1
5;june 's more passengers in june .;0.259;1
5;while june attracts more passengers in june EOS EOS EOS EOS;0.259;1
5;june attracts more passengers in june , but but and and and and and and;0.259;1
5;i want a new passenger in june .;0.259;1
5;where does easyjet attract more passengers in june;0.259;0
5;in june , it attracts more passengers in june de la la la la la;0.259;1
5;now june attracts more passengers in june but and and and and and and and;0.259;0
5;when june is more passengers in june EOS EOS EOS EOS;0.259;0
